ms,GPStime,lat,lon,yaw,pitch,roll
100,234451.00,40.09514236,-88.23922729,12.045801,2.893130,0.076336
200,234451.00,40.09514236,-88.23922729,12.244275,1.221374,-0.656489
300,234451.00,40.09514236,-88.23922729,12.290076,3.038168,-0.213740
400,234451.00,40.09514236,-88.23922729,12.396947,0.847328,-0.541985
500,234451.00,40.09514236,-88.23922729,12.221375,1.061069,-0.832061
600,234451.00,40.09514236,-88.23922729,12.297709,0.931298,-0.961832
700,234451.00,40.09514236,-88.23922729,12.244275,0.694656,-0.679389
800,234451.00,40.09514236,-88.23922729,12.503817,0.977099,-0.740458
900,234452.00,40.09514236,-88.23922729,12.175572,0.740458,-0.832061
1000,234452.00,40.09514618,-88.23922729,12.511451,0.488550,-0.603053
1100,234452.00,40.09514618,-88.23922729,12.366412,-0.251908,-0.847328
1200,234452.00,40.09514618,-88.23922729,-12.297709,0.511450,-0.854962
1300,234452.00,40.09514618,-88.23922729,-12.183207,0.770992,-0.320611
1400,234452.00,40.09514618,-88.23922729,-12.206107,0.114504,-0.786260
1500,234452.00,40.09514618,-88.23922729,-11.969465,0.694656,-0.832061
1600,234452.00,40.09514618,-88.23922729,-11.908397,0.786260,-0.801527
1700,234452.00,40.09514618,-88.23922729,-12.511451,3.732824,1.778626
1800,234453.00,40.09514618,-88.23922729,-12.396947,2.427481,0.534351
1900,234453.00,40.09513855,-88.23922729,-11.755725,1.099237,-1.206107
2000,234453.00,40.09513855,-88.23922729,-11.740458,0.900763,-0.480916
2100,234453.00,40.09513855,-88.23922729,-12.076336,1.526718,-0.793893
2200,234453.00,40.09513855,-88.23922729,-11.816793,1.358779,-0.740458
2300,234453.00,40.09513855,-88.23922729,-12.038168,1.946565,-0.465649
2400,234453.00,40.09513855,-88.23922729,-11.824428,1.229008,-0.587786
2500,234453.00,40.09513855,-88.23922729,11.946565,0.396947,-0.320611
2600,234453.00,40.09513855,-88.23922729,12.221375,1.603053,0.274809
2700,234453.00,40.09513855,-88.23922729,12.122137,0.351145,-1.175573
2800,234454.00,40.09513855,-88.23922729,12.183207,0.839695,-1.022901
2900,234454.00,40.09514236,-88.23924255,12.236641,0.541985,-1.190840
3000,234454.00,40.09514236,-88.23924255,12.206107,0.465649,-1.000000
3100,234454.00,40.09514236,-88.23924255,12.229008,0.946565,-0.465649
3200,234454.00,40.09514236,-88.23924255,12.259542,1.015267,-0.549618
3300,234454.00,40.09514236,-88.23924255,12.282443,0.977099,-0.671756
3400,234454.00,40.09514236,-88.23924255,12.374045,0.954198,-0.740458
3500,234454.00,40.09514236,-88.23924255,12.351145,0.824427,-0.923664
3600,234454.00,40.09514236,-88.23924255,12.190840,0.679389,-0.931298
3700,234454.00,40.09514236,-88.23924255,12.221375,0.671756,-0.656489
3800,234455.00,40.09514236,-88.23924255,12.343512,0.847328,-0.824427
3900,234455.00,40.09513855,-88.23925781,12.267176,0.030534,-0.694656
4000,234455.00,40.09513855,-88.23925781,12.488549,0.083969,-0.824427
4100,234455.00,40.09513855,-88.23925781,12.267176,0.557252,-0.801527
4200,234455.00,40.09513855,-88.23925781,12.190840,-0.541985,-1.916031
4300,234455.00,40.09513855,-88.23925781,-12.305344,0.801527,-0.396947
4400,234455.00,40.09513855,-88.23925781,-12.389313,0.908397,-0.610687
4500,234455.00,40.09513855,-88.23925781,-12.190840,0.961832,-0.633588
4600,234455.00,40.09513855,-88.23925781,-12.000000,1.793893,-0.854962
