ms,lon,lat,yaw,pitch,roll
0,-88.2407696980929,40.0949763423495,-0.709924,-0.763359,-2.648855
100,-88.2407670247861,40.09497313013625,-0.709924,-0.763359,-2.648855
200,-88.2407643514793,40.094969917923,1.083969,-0.206107,1.458015
300,-88.2407591696091,40.09497382036365,0.511450,-0.381679,2.267176
400,-88.2407539877389,40.0949777228043,-1.045802,0.007634,1.206107
500,-88.24074910470985,40.0949805243763,-2.000000,0.396947,-0.732824
600,-88.2407442216808,40.0949833259483,-0.656489,0.213740,2.503817
700,-88.24074012870301,40.09498802523265,-4.145038,0.045802,-4.274809
800,-88.2407360357252,40.094992724517,-0.572519,0.580153,5.572519
900,-88.2407309880684,40.09499748466335,-0.534351,0.732824,8.618320
1000,-88.2407259404116,40.0950022448097,-3.564885,0.908397,3.106870
1100,-88.2407218981745,40.09500712515525,-2.519084,-0.190840,-1.862595
1200,-88.2407178559374,40.0950120055008,0.366412,-0.465649,-3.969466
1300,-88.2407132292928,40.095016873726195,4.923664,-1.656489,-1.954198
1400,-88.2407086026482,40.0950217419516,4.938931,-1.740458,-4.908397
1500,-88.24070485011126,40.09502735821435,4.450382,-1.297710,-7.595420
1600,-88.2407010975743,40.0950329744771,9.007633,-0.770992,-4.824428
1700,-88.2406975525727,40.09503776786785,-2.763359,-1.198473,-12.007633
1800,-88.2406940075711,40.0950425612586,-8.809160,-0.969466,-18.969465
1900,-88.24069083298875,40.0950477527442,-3.633588,-75.419846,-17.778625
2000,-88.2406845900007,40.0950576944975,1.572519,36.114502,13.549619
2100,-88.240681521595,40.0950624447652,-3.129771,2.137405,0.587786
2200,-88.2406786068124,40.095067174604,-8.061069,28.969465,-4.015267
2300,-88.2406756920298,40.0950719044428,-6.541985,0.366412,-12.114504
2400,-88.24067241802004,40.09507658693405,-5.343512,-4.419847,-8.885496
2500,-88.2406691440103,40.0950812694253,-3.954198,-1.961832,0.404580
2600,-88.24066640389665,40.09508667455055,-4.290076,-1.183206,-1.793893
2700,-88.240663663783,40.0950920796758,-4.137404,-1.351145,-4.045802
2800,-88.2406610814343,40.09509726126425,-2.541985,-1.419847,-2.977099
2900,-88.2406584990856,40.0951024428527,-4.083970,0.877863,-13.770992
3000,-88.2406561151322,40.095107621290396,-8.732824,-0.580153,-29.404581
3100,-88.2406537311788,40.0951127997281,-13.549619,0.358779,-40.267174
3200,-88.24065249522184,40.09511803913725,-30.198473,-0.938931,-77.503815
3300,-88.2406512592649,40.0951232785464,-24.480917,-4.496183,-52.091602
3400,-88.24064976042105,40.095128516000656,-9.511451,-2.244275,-21.603054
3500,-88.2406482615772,40.0951337534549,-2.748092,-2.374046,-11.206107
3600,-88.24064697481435,40.09513912757565,-9.587787,-2.587786,-17.618320
3700,-88.24064494851595,40.0951501735093,-30.809160,-2.183206,-54.198475
3800,-88.2406442089804,40.0951558453222,-19.580153,-4.564886,-27.618320
3900,-88.2406453363392,40.0951613638859,-10.480916,-4.977099,-6.931298
4000,-88.240646463698,40.0951668824496,8.580153,1.618321,9.648855
4100,-88.24065047813446,40.095171326772245,6.198473,13.763359,11.335877
4200,-88.2406544925709,40.0951757710949,6.167939,3.725191,13.748092
4300,-88.24066009811855,40.09517955855705,-9.335877,4.862596,-21.511450
4400,-88.2406657036662,40.0951833460192,17.587786,8.610687,32.190838
4500,-88.24067207898216,40.0951866891084,9.160305,-0.702290,22.412214
4600,-88.2406784542981,40.0951900321976,12.389313,-16.312977,-16.564886
4700,-88.24068189780303,40.0951916332604,-8.290076,-0.725191,-47.038166
4800,-88.24068534130795,40.095193234323204,-6.328244,1.381679,-52.305344
4900,-88.24068878481287,40.095194835386,-23.625954,8.175572,-81.587784
5000,-88.2406922283178,40.0951964364488,-11.610687,-12.877863,-26.320610
5100,-88.24069894507966,40.09519951261155,-10.030535,-7.839694,-20.664122
5200,-88.2407056618415,40.0952025887743,4.824428,-6.687023,8.183207
5300,-88.24071227112975,40.09520636232385,-1.190840,-15.099236,-15.267176
5400,-88.240718880418,40.0952101358734,-34.931297,3.480916,-53.595421
5500,-88.24072232395802,40.095211979680855,-12.824428,-11.236641,17.801527
5600,-88.24072576749805,40.0952138234883,-14.526717,-12.022901,-10.717557
5700,-88.24072921103807,40.09521566729575,-51.725189,-31.381680,-84.496185
5800,-88.2407326545781,40.0952175111032,-18.793894,-24.610687,19.442749
5900,-88.24073931513685,40.095221172284255,-12.633588,-6.664122,0.450382
6000,-88.2407459756956,40.0952248334653,-30.137405,-5.839694,-17.236641
6100,-88.2407580411119,40.0952336385737,-1.198473,14.603053,42.297710
6200,-88.24076392302275,40.095238017263156,12.259542,8.038168,52.786259
6300,-88.2407698049336,40.0952423959526,-13.015267,-1.893130,8.099236
6400,-88.24077605315875,40.09524660600995,-9.557252,22.290077,20.664122
6500,-88.2407823013839,40.0952508160673,-0.648855,26.992367,35.885498
6600,-88.2407879197265,40.09525560110565,15.251908,-19.175573,35.198475
6700,-88.2407935380691,40.095260386144,28.854961,-7.213740,24.740458
6800,-88.2407986632928,40.095265222138394,21.389313,-16.381680,22.916031
6900,-88.2408037885165,40.0952700581328,23.755726,-14.366412,15.412213
7000,-88.24080925560716,40.0952749183799,14.992367,6.389313,-14.488549
7100,-88.2408206381177,40.0952847432326,6.496183,-22.381680,-17.000000
7200,-88.2408265535376,40.0952897078382,3.465649,80.015266,-37.114502
7300,-88.24083170217145,40.0952952011394,13.870229,34.847328,3.229008
7400,-88.2408368508053,40.0953006944406,-20.572519,23.206106,-20.129770
7500,-88.24084191651805,40.095305979172096,-14.625955,33.900764,22.091602
7600,-88.2408469822308,40.0953112639036,-6.473282,-10.335877,20.732824
7700,-88.2408519800492,40.0953169018743,-10.007633,-8.603053,-0.664122
7800,-88.2408569778676,40.095322539845,-5.656488,-32.007633,4.145038
7900,-88.24086189634485,40.0953278503939,-20.641222,32.900764,-3.404580
8000,-88.2408668148221,40.0953331609428,-9.435115,-10.427481,29.832062
8100,-88.24087139864861,40.095339008908454,10.885496,-26.633587,-15.549619
8200,-88.2408759824751,40.0953448568741,7.801527,21.412214,15.793893
8300,-88.2408803489788,40.0953504461745,13.236641,-9.458015,38.297710
8400,-88.2408847154825,40.0953560354749,4.740458,-9.305344,-6.099236
8500,-88.24088892694245,40.0953619701112,-16.351145,-2.801527,-5.206107
8600,-88.2408931384024,40.0953679047475,-4.641222,19.442749,52.213741
8700,-88.2408968939827,40.0953740201104,5.870229,54.229008,52.190838
8800,-88.2409039787653,40.0953863260713,6.618320,-12.618320,27.083969
8900,-88.2409073079676,40.0953925166693,-1.412214,-14.038168,28.229008
9000,-88.24091074646671,40.09539887217435,18.679390,-23.221375,47.343510
9100,-88.2409141849658,40.0954052276794,5.801527,12.236641,4.458015
9200,-88.24091757638516,40.0954114143009,9.687023,13.809160,23.755726
9300,-88.2409209678045,40.0954176009224,11.259542,-7.885496,33.297710
9400,-88.2409238522907,40.09542407487635,21.534351,-4.435114,47.854961
9500,-88.2409267367769,40.0954305488303,16.374046,-70.030533,-0.564885
9600,-88.24092980766841,40.0954363206194,19.511450,-10.259542,12.488549
9700,-88.2409328785599,40.0954420924085,8.923664,14.083969,21.763359
9800,-88.2409356756347,40.09544828171775,4.832061,-25.870230,13.083969
9900,-88.2409384727095,40.095454471027,23.160305,46.717556,76.702293
10000,-88.24094006505425,40.09546085810845,17.251909,-52.961834,64.160309
10100,-88.240941657399,40.0954672451899,16.656488,-69.900764,-0.664122
10200,-88.24094264235416,40.095473919077705,32.305344,-26.671755,-11.488549
10300,-88.2409436273093,40.0954805929655,9.587787,-44.595421,-44.022900
10400,-88.2409442816361,40.0954871532954,19.404581,-0.770992,-1.106870
10500,-88.2409449359629,40.0954937136253,-1.190840,17.190840,6.465649
10600,-88.2409453824232,40.09549991444055,19.015266,-7.580153,21.748091
10700,-88.2409458288835,40.0955061152558,11.160305,-38.740459,12.801527
10800,-88.2409473708646,40.0955126368547,13.068703,46.190838,-2.755725
10900,-88.2409489128457,40.0955191584536,10.267176,-23.664122,-2.343511
11000,-88.24094915196525,40.09552576437495,12.931297,-38.160305,27.587786
11100,-88.2409493910848,40.0955323702963,7.732824,-24.274809,-14.236641
11200,-88.24094830781931,40.095539129433746,9.687023,-0.931298,-0.221374
11300,-88.2409472245538,40.0955458885712,20.519083,18.259542,37.770992
11400,-88.240943870325,40.095552164992,9.931297,13.076336,8.625955
11500,-88.24093554224835,40.095563750704244,10.297709,-9.198473,22.541985
11600,-88.2409305684005,40.0955690599957,32.000000,4.175572,40.931297
11700,-88.24092635673739,40.09557355569355,12.030535,0.274809,-4.648855
11800,-88.2409221450743,40.0955780513914,9.488549,-15.641221,1.587786
11900,-88.24091754363096,40.09558253791185,10.290076,4.885496,-5.709924
12000,-88.2409129421876,40.0955870244323,-0.412214,-10.793893,-4.839694
12100,-88.24090805164676,40.09559198787075,11.923664,7.320611,13.091603
12200,-88.2409031611059,40.0955969513092,-0.778626,-10.480916,-9.335877
12300,-88.2408985757931,40.09560070217875,-1.099237,-13.450381,-17.068703
12400,-88.2408939904803,40.0956044530483,-5.099236,1.427481,-2.572519
12500,-88.24088942738045,40.0956101182683,13.885496,0.007634,38.984734
12600,-88.2408848642806,40.0956157834883,-4.496183,-20.839695,-0.099237
12700,-88.24088055094595,40.09562005618375,19.824427,-20.320610,15.000000
12800,-88.2408762376113,40.0956243288792,-4.526718,-2.648855,-3.801527
12900,-88.2408717631083,40.09562813394555,8.022901,3.152672,8.610687
13000,-88.2408672886053,40.0956319390119,4.198473,-1.908397,-11.870229
13100,-88.2408632950132,40.09563537657115,15.763359,9.854961,-3.832061
13200,-88.2408593014211,40.0956388141304,6.854962,-7.664122,-17.389313
13300,-88.2408547542754,40.09564266724075,15.106871,-9.312977,-5.541985
13400,-88.2408502071297,40.0956465203511,10.251908,-13.465649,-18.045801
13500,-88.240846276835,40.0956505423261,5.671756,-33.175571,-32.312977
13600,-88.2408423465403,40.0956545643011,-5.770992,-21.778625,-42.984734
13700,-88.240837436955,40.0956579193377,-8.961832,19.656488,-13.351145
13800,-88.2408325273697,40.0956612743743,-8.595420,-0.839695,1.633588
13900,-88.2408263782873,40.0956648782427,-14.969465,-67.816795,-19.229008
14000,-88.2408138799197,40.09567221085385,-5.167939,8.129771,-2.625954
14100,-88.2408075306345,40.0956759395966,-8.137404,-21.580153,-6.755725
14200,-88.24080103677015,40.0956801165232,0.351145,-0.259542,-17.129770
14300,-88.2407945429058,40.0956842934498,-5.465649,8.160305,-1.702290
14400,-88.24078788983235,40.09568873140455,-3.274809,-15.290076,1.564885
14500,-88.2407812367589,40.0956931693593,3.213740,-13.671756,-22.236641
14600,-88.24077463157485,40.0956967435186,-7.160306,-11.396947,-27.320610
14700,-88.2407680263908,40.0957003176779,-4.671756,-11.832061,-24.015266
14800,-88.24076165670056,40.0957039496246,-3.312977,17.961832,-6.732824
14900,-88.2407552870103,40.0957075815713,-9.213740,14.381680,5.343512
15000,-88.240749898207,40.0957120380361,-7.954198,-6.312977,-1.610687
15100,-88.2407445094037,40.0957164945009,-9.633588,-17.832062,1.290076
15200,-88.24073947647645,40.0957209306049,-13.435115,-27.061069,-11.152672
15300,-88.2407344435492,40.0957253667089,3.572519,5.877862,2.381679
15400,-88.240729111584,40.095729756805596,-6.679389,-0.435115,-9.610687
15500,-88.2407237796188,40.0957341469023,-2.320611,-8.122137,-31.717558
15600,-88.2407192052888,40.09573957602605,-6.282443,5.511450,-2.290076
15700,-88.2407146309588,40.0957450051498,-11.717557,-16.358778,-3.900763
15800,-88.24071008692376,40.09574988421395,7.473282,13.274809,-2.145038
15900,-88.2407055428887,40.0957547632781,-1.488550,1.442748,-23.045801
16000,-88.24070084949486,40.09575989075615,0.748092,14.984733,-37.030533
16100,-88.240696156101,40.0957650182342,-10.664123,-7.183206,-28.015266
16200,-88.24069184188494,40.0957700533603,-8.809160,-8.618320,-14.083969
16300,-88.2406875276689,40.0957750884864,1.190840,-4.458015,-1.816794
16400,-88.240684115354,40.0957803855615,-6.549618,-12.083969,-19.671755
16500,-88.2406807030391,40.0957856826366,4.938931,-4.893130,-16.358778
16600,-88.24067746546666,40.0957913963256,-1.549618,-18.992367,-37.923664
16700,-88.2406742278942,40.0957971100146,-8.038168,5.519084,-39.030533
16800,-88.24067090091116,40.09580327486185,-13.633588,13.938931,-31.343512
16900,-88.2406675739281,40.0958094397091,-19.236641,-38.870228,-45.175571
