time,lat,lon,yaw,pitch,roll,vx,vy
00:00:00,40.111389,-88.228889,0.00,0.00,0.05,-1.32,1.20
00:00:01,40.111111,-88.228989,0.01,0.01,0.02,-1.28,0.10
00:00:02,40.110833,-88.228809,0.02,0.02,0.00,-1.24,0.02
00:00:03,40.110556,-88.228829,0.03,0.03,0.03,-1.20,0.00
00:00:04,40.110278,-88.228889,0.04,0.04,0.04,-1.16,0.34
00:00:05,40.110000,-88.228889,0.05,0.05,0.08,-1.12,0.00
00:00:06,40.109722,-88.228389,0.06,0.06,0.02,-1.08,0.90
00:00:07,40.109444,-88.228839,0.07,0.07,0.06,-1.04,0.03
00:00:08,40.109167,-88.228889,0.08,0.08,0.01,-1.00,0.19
00:00:09,40.108889,-88.228889,0.09,0.07,0.08,-0.96,0.32
00:00:10,40.108611,-88.228289,0.00,0.06,0.07,-0.92,0.30
00:00:11,40.108333,-88.228819,0.11,0.05,0.03,-0.88,0.59
00:00:12,40.108056,-88.228829,0.12,0.04,0.04,-0.84,0.60
00:00:13,40.107778,-88.223889,0.13,0.03,0.00,-0.80,1.04
00:00:14,40.107500,-88.228389,0.14,0.02,0.05,-0.76,1.22
00:00:15,40.107222,-88.228889,0.15,0.01,0.09,-0.72,0.48
00:00:16,40.106944,-88.228787,0.16,0.00,0.01,-0.68,0.70
